rank,title,authors,year,venue,citation_count,source,notes
61,"Learning sequential and structural information for source code summarization","YS Choi, JY Bak, CW Na, JH Lee",TODO_VERIFY,TODO_VERIFY,49,Google Scholar via Publish or Perish,
62,"Ensemble models for neural source code summarization of subroutines","A LeClair, A Bansal, C McMillan",TODO_VERIFY,TODO_VERIFY,46,Google Scholar via Publish or Perish,
63,"DeepCommenter: A deep code comment generation tool with hybrid lexical and syntactical information","B Li, M Yan, X Xia, X Hu, G Li, D Lo",TODO_VERIFY,TODO_VERIFY,46,Google Scholar via Publish or Perish,
64,"Analyzing the performance of large language models on code summarization","R Haldar, J Hockenmaier",TODO_VERIFY,TODO_VERIFY,46,Google Scholar via Publish or Perish,
65,"Comformer: Code comment generation via transformer and fusion method-based hybrid code representation","G Yang, X Chen, J Cao, S Xu, Z Cui et al.",TODO_VERIFY,TODO_VERIFY,46,Google Scholar via Publish or Perish,
66,"SeCNN: A semantic CNN parser for code comment generation","Z Li, Y Wu, B Peng, X Chen, Z Sun, Y Liu et al.",TODO_VERIFY,TODO_VERIFY,46,Google Scholar via Publish or Perish,
67,"CoCoSUM: Contextual code summarization with multi-relational graph neural network","Y Wang, E Shi, L Du, X Yang, Y Hu, S Han et al.",TODO_VERIFY,TODO_VERIFY,42,Google Scholar via Publish or Perish,
68,"Developer-intent driven code comment generation","F Mu, X Chen, L Shi, S Wang et al.",TODO_VERIFY,TODO_VERIFY,41,Google Scholar via Publish or Perish,
69,"Exploiting method names to improve code summarization: A deliberation multi-task learning approach","R Xie, W Ye, J Sun, S Zhang",TODO_VERIFY,TODO_VERIFY,39,Google Scholar via Publish or Perish,
70,"Modeling hierarchical syntax structure with triplet position for source code summarization","J Guo, J Liu, Y Wan, L Li, P Zhou",TODO_VERIFY,TODO_VERIFY,35,Google Scholar via Publish or Perish,
71,"Action word prediction for neural source code summarization","S Haque, A Bansal, L Wu et al.",TODO_VERIFY,TODO_VERIFY,34,Google Scholar via Publish or Perish,
72,"A convolutional neural network for language-agnostic source code summarization","J Moore, B Gelman, D Slater",TODO_VERIFY,TODO_VERIFY,33,Google Scholar via Publish or Perish,
73,"Automatic documentation generation via source code summarization","PW McBurney",TODO_VERIFY,TODO_VERIFY,32,Google Scholar via Publish or Perish,
74,"Towards context-aware code comment generation","X Yu, Q Huang, Z Wang, Y Feng et al.",TODO_VERIFY,TODO_VERIFY,32,Google Scholar via Publish or Perish,
75,"A neural-network based code summarization approach by using source code and its call dependencies","B Liu, T Wang, X Zhang, Q Fan, G Yin et al.",TODO_VERIFY,TODO_VERIFY,32,Google Scholar via Publish or Perish,
76,"ESALE: Enhancing code-summary alignment learning for source code summarization","C Fang, W Sun, Y Chen, X Chen, Z Wei et al.",TODO_VERIFY,TODO_VERIFY,29,Google Scholar via Publish or Perish,
77,"Automated feature discovery via sentence selection and source code summarization","PW McBurney, C Liu, C McMillan",TODO_VERIFY,TODO_VERIFY,29,Google Scholar via Publish or Perish,
78,"Automatic source code documentation using code summarization technique of NLP","MP Arthur",TODO_VERIFY,TODO_VERIFY,28,Google Scholar via Publish or Perish,
79,"Project-specific code summarization with in-context learning","S Yun, S Lin, X Gu, B Shen",2024,,28,Google Scholar via Publish or Perish,P-CodeSum
80,"Function call graph context encoding for neural source code summarization","A Bansal, Z Eberhart, Z Karas, Y Huang et al.",TODO_VERIFY,TODO_VERIFY,28,Google Scholar via Publish or Perish,
